"Frequency","I_filtro"
10100.000000000327,2.693078557304307e-05
10150.000000000329,2.679911196169687e-05
10200.000000000331,2.6666793867820109e-05
10250.000000000333,2.6540066694949134e-05
10300.000000000333,2.6407841462686334e-05
10350.000000000335,2.6279793362076373e-05
10400.000000000337,2.6153912456614899e-05
10450.000000000338,2.6028618482931772e-05
10500.00000000034,2.5904715600710254e-05
10550.000000000342,2.5778322376193445e-05
10600.000000000344,2.5660255040894208e-05
10650.000000000346,2.5538819736309907e-05
10700.000000000347,2.5420308952411134e-05
10750.000000000347,2.5300599520345638e-05
10800.000000000349,2.5184907873671631e-05
10850.000000000351,2.5071594366180315e-05
10900.000000000353,2.4953759308645778e-05
10950.000000000355,2.4841625736363405e-05
11000.000000000357,2.4726930135848422e-05
11050.000000000358,2.461856484866377e-05
11100.00000000036,2.4504105713688615e-05
11150.000000000362,2.4393933444130942e-05
11200.000000000364,2.4285297371425311e-05
11250.000000000364,2.4177037656067442e-05
11300.000000000366,2.4070293194740681e-05
11350.000000000367,2.3960851612185133e-05
11400.000000000369,2.385908431731701e-05
11450.000000000371,2.3753923458575068e-05
11500.000000000373,2.3651509623709736e-05
11550.000000000375,2.3547999102625478e-05
11600.000000000377,2.3447633572515345e-05
11650.000000000378,2.3349559253241999e-05
11700.000000000378,2.3247238923462174e-05
11750.00000000038,2.3149937730736396e-05
11800.000000000382,2.3050332990313676e-05
11850.000000000384,2.2955695377862368e-05
11900.000000000386,2.2856698023128311e-05
11950.000000000387,2.276007010289287e-05
12000.000000000389,2.2666324808548479e-05
12050.000000000391,2.2570928528861779e-05
12100.000000000393,2.247897645065027e-05
12150.000000000393,2.2382723875944484e-05
12200.000000000395,2.2294677510993597e-05
12250.000000000397,2.2202331529643489e-05
12300.000000000398,2.2113342444840293e-05
12350.0000000004,2.2022935149957332e-05
12400.000000000402,2.1935000962441053e-05
12450.000000000404,2.1849413820545116e-05
12500.000000000406,2.1759523026134755e-05
12550.000000000407,2.167467754533882e-05
12600.000000000407,2.1586924083924899e-05
12650.000000000409,2.1503921273553979e-05
12700.000000000411,2.1416989905928363e-05
12750.000000000413,2.1332048536479423e-05
12800.000000000415,2.1249676928967662e-05
12850.000000000417,2.1165551214118002e-05
12900.000000000418,2.1084829033939741e-05
12950.00000000042,2.1000253375731711e-05
13000.000000000422,2.0922478045097872e-05
13050.000000000422,2.0841498165464063e-05
13100.000000000424,2.0762563979304469e-05
13150.000000000426,2.0683730812987127e-05
13200.000000000427,2.0605159445307126e-05
13250.000000000429,2.053047092525436e-05
13300.000000000431,2.0450213592640827e-05
13350.000000000433,2.0375994046073456e-05
13400.000000000435,2.029766231633842e-05
13450.000000000437,2.022443619647406e-05
13500.000000000437,2.0147388168853867e-05
13550.000000000438,2.00720465932982e-05
13600.00000000044,1.9999287626455029e-05
13650.000000000442,1.9924249821005758e-05
13700.000000000444,1.9853251118415343e-05
13750.000000000446,1.9777909479581646e-05
13800.000000000447,1.9709278096329304e-05
